※アーティス情報なし,※アーティス情報なし,いかないで,イカナイデ
MANDY MOORE,マンディ・ムーア,自由への扉,ジユウヘノトビラ
I WiSH,アイウィッシュ,明日への扉,アスヘノトビラ
相川 七瀬,アイカワナナセ,夢見る少女じゃいられない,ユメミルショウジョジャイラレナイ
AKINO,アキノ,創聖のアクエリオン,ソウセイノアクエリオン
りょーくん,アサ,吉原ラメント,ヨシハララメント
新しい学校のリーダーズ,アタラシイガッコウノリーダーズ,オトナブルー,オトナブルー
Ado,アド,阿修羅ちゃん,アシュラチャン
Ado,アド,うっせぇわ,ウッセェワ
Ado,アド,ギラギラ,ギラギラ
Ado,アド,新時代,シンジダイ
Ado,アド,レディメイド,レディメイド
Ado,アド,私は最強,ワタシハサイキョウ
嵐,アラシ,LOVE SO SWEET,ラブ　ソー　スイーツ
嵐,アラシ,ONE LOVE,ワン　ラブ
AliA,アリア,かくれんぼ,かくれんぼ
angela,アンジェラ,SHANGRI-LA,シャングリラ
いきものがかり,イキモノガカリ,YELL,エール
いきものがかり,イキモノガカリ,ブルーバード,ブルーバード
石川　さゆり,イシカワサユリ,津軽海峡・冬景色,ツガルカイキョウフユゲシキ
井上　あずみ,イノウエアズミ,君をのせて,キミヲノセテ
井上　あずみ,イノウエアズミ,となりのトトロ,トナリノトトロ
岩崎　良美,イワサキヨシミ,タッチ,タッチ
宇多田　ヒカル,ウタダヒカル,PRISONER OF LOVE,プリズナー オブ ラヴ
AKB48,エーケービフォーティーエイト,大声ダイヤモンド,オオゴエダイヤモンド
AKB48,エーケービフォーティーエイト,フライングゲット,フライングゲット
Aimer,エメ,カタオモイ,カタオモイ
Aimer,エメ,ザンキョウ サンカ,ザンキョウサンカ
Aimer,エメ,蝶々結び,チョウチョウムスビ
Awesome City Club,オーサムシティクラブ,勿忘,ワスレナ
大塚　愛,オオツカアイ,プラネタリウム,プラネタリウム
奥　華子,オクハナコ,変わらないもの,カワラナイモノ
奥華子,オクハナコ,楔,クサビ
尾崎豊,オザキユタカ,I LOVE YOU,アイ　ラブ　ユー
小田　和正,オダカズマサ,たしかなこと,タシカナコト
鬼束　ちひろ,オニツカチヒロ,月光,ゲッコウ
鬼束　ちひろ,オニツカチヒロ,眩暈,メマイ
鬼束　ちひろ,オニツカチヒロ,私とワルツを,ワタシトワルツ
Official髭男dism,オフィシャルひげダンディズム,ノーダウト,ノーダウト
Official髭男dism,オフィシャルひげダンディズム,PRETENDER,プリテンダー
Orangestar,オレンジスター,回る空うさぎ,マワルソラウサギ
陰陽座,オンミョウザ,甲賀忍法帖,コウガニンポウチョウ
門倉　有希,カドクラユキ,花は咲く,ハナハサク
Kanaria,カナリア,KING,キング
Kanaria,カナリア,酔いどれ知らず,ヨイドレシラヅ
川崎 鷹也,カワサキタツヤ,魔法の絨毯,マホウノジュウタン
北出菜奈,キタデナナ,消せない罪,ケセナイツミ
木村　カエラ,キムラカエラ,BUTTERFLY,バタフライ
木村　弓,キムラユミ,いつも何度でも,イツモナンドデモ
gal’up,ギャロップ,うまぴょい伝説,ウマピョイデンセツ
Kiroro,キロロ,Best Friend,ベストフレンド
KinKi Kids,キンキ キッズ,ボクの背中には羽根がある,ボクノセナカニハハネガアル
King Gnu,キングヌー,白日,ハクジツ
久保田　早紀,クメサユリ,異邦人,イホウジン
クリス・ハート,クリスハート,I LOVE YOU 2020 ENGLISH VER,アイ　ラブ　ユー
黒うさP,クロウサピー,千本桜,センボンザクラ
めいちゃん,コアクマダッテカマワナイ,小悪魔だってかまわない,メイチャン
倖田 來未,コウダクミ,愛のうた,アイノウタ
コブクロ,コブクロ,蕾,ツボミ
斉藤　和義,サイトウカズヨシ,歌うたいのバラッド,ウタウタイノバラッド
Sound Horizon,サウンドホライゾン,美しきもの,ウツクシキモノ
Sound Horizon,サウンドホライゾン,終端の王と異世界の騎士The Endia & The Knights,シュウエンノオウトイセカイノキシ
Sound Horizon,サウンドホライゾン,恋人を射ち堕とした日,シュウエンノオウトイセカイノキシ
坂本真綾,サカモトマアヤ,プラチナ,プラチナ
NEWS,サクラガール,さくらガール,ニュース
